NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
RIO DE JANEIRO,214,Vereador,TARCÍSIO MOTTA,50,PSOL,ELEITO POR QP,1594
RIO DE JANEIRO,162,Vereador,TARCÍSIO MOTTA,50,PSOL,ELEITO POR QP,322
RIO DE JANEIRO,234,Vereador,PAULO PINHEIRO,50,PSOL,ELEITO POR QP,31
RIO DE JANEIRO,170,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,1090
RIO DE JANEIRO,245,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,181
RIO DE JANEIRO,188,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,212
RIO DE JANEIRO,167,Vereador,RENATO CINCO,50,PSOL,ELEITO POR QP,99
RIO DE JANEIRO,233,Vereador,PAULO PINHEIRO,50,PSOL,ELEITO POR QP,31
RIO DE JANEIRO,245,Vereador,RENATO CINCO,50,PSOL,ELEITO POR QP,110
RIO DE JANEIRO,238,Vereador,TARCÍSIO MOTTA,50,PSOL,ELEITO POR QP,397
RIO DE JANEIRO,121,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,187
RIO DE JANEIRO,119,Vereador,PAULO PINHEIRO,50,PSOL,ELEITO POR QP,337
RIO DE JANEIRO,244,Vereador,PAULO PINHEIRO,50,PSOL,ELEITO POR QP,27
RIO DE JANEIRO,16,Vereador,TARCÍSIO MOTTA,50,PSOL,ELEITO POR QP,2944
RIO DE JANEIRO,11,Vereador,RENATO CINCO,50,PSOL,ELEITO POR QP,126
RIO DE JANEIRO,8,Vereador,RENATO CINCO,50,PSOL,ELEITO POR QP,96
RIO DE JANEIRO,189,Vereador,MARIELLE FRANCO,50,PSOL,ELEITO POR QP,260
RIO DE JANEIRO,2,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,10
RIO DE JANEIRO,214,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,13
RIO DE JANEIRO,25,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,5
RIO DE JANEIRO,161,Vereador,ITALO CIBA,70,PT do B,ELEITO POR QP,7
RIO DE JANEIRO,185,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,144
RIO DE JANEIRO,161,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,479
RIO DE JANEIRO,236,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,93
RIO DE JANEIRO,219,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,151
RIO DE JANEIRO,167,Vereador,DR. CARLOS EDUARDO,77,SD,ELEITO POR QP,280
RIO DE JANEIRO,160,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,116
RIO DE JANEIRO,19,Vereador,REIMONT,13,PT,ELEITO POR QP,440
RIO DE JANEIRO,165,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,100
RIO DE JANEIRO,163,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,215
RIO DE JANEIRO,165,Vereador,REIMONT,13,PT,ELEITO POR QP,157
RIO DE JANEIRO,3,Vereador,LUCIANA NOVAES,13,PT,ELEITO POR QP,173
RIO DE JANEIRO,6,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,282
RIO DE JANEIRO,15,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,202
RIO DE JANEIRO,10,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,148
RIO DE JANEIRO,231,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,29
RIO DE JANEIRO,9,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,321
RIO DE JANEIRO,191,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,216
RIO DE JANEIRO,1,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,66
RIO DE JANEIRO,20,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,64
RIO DE JANEIRO,215,Vereador,TERESA BERGHER,45,PSDB,ELEITO POR QP,166
RIO DE JANEIRO,237,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,14
RIO DE JANEIRO,243,Vereador,FELIPE MICHEL,45,PSDB,ELEITO POR QP,18
RIO DE JANEIRO,180,Vereador,VAL,51,PEN,ELEITO POR QP,43
RIO DE JANEIRO,240,Vereador,VAL,51,PEN,ELEITO POR QP,4
RIO DE JANEIRO,178,Vereador,VAL,51,PEN,ELEITO POR QP,68
RIO DE JANEIRO,236,Vereador,VAL,51,PEN,ELEITO POR QP,23
RIO DE JANEIRO,1,Vereador,LEANDRO LYRA,30,NOVO,ELEITO POR QP,40
RIO DE JANEIRO,245,Vereador,LEANDRO LYRA,30,NOVO,ELEITO POR QP,34
RIO DE JANEIRO,192,Vereador,LEANDRO LYRA,30,NOVO,ELEITO POR QP,356
RIO DE JANEIRO,1,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,63
RIO DE JANEIRO,123,Vereador,LEANDRO LYRA,30,NOVO,ELEITO POR QP,46
RIO DE JANEIRO,22,Vereador,LEANDRO LYRA,30,NOVO,ELEITO POR QP,90
RIO DE JANEIRO,117,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,72
RIO DE JANEIRO,191,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,100
RIO DE JANEIRO,217,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,199
RIO DE JANEIRO,168,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,98
RIO DE JANEIRO,171,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,32
RIO DE JANEIRO,5,Vereador,JONES MOURA,55,PSD,ELEITO POR QP,23
RIO DE JANEIRO,8,Vereador,CARLOS BOLSONARO,20,PSC,ELEITO POR QP,871
RIO DE JANEIRO,170,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,29
RIO DE JANEIRO,5,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,4
RIO DE JANEIRO,23,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,80
RIO DE JANEIRO,170,Vereador,CARLOS BOLSONARO,20,PSC,ELEITO POR QP,1517
RIO DE JANEIRO,245,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,48
RIO DE JANEIRO,243,Vereador,CARLOS BOLSONARO,20,PSC,ELEITO POR QP,1135
RIO DE JANEIRO,2,Vereador,CLÁUDIO CASTRO,20,PSC,ELEITO POR QP,143
RIO DE JANEIRO,1,Vereador,CARLOS BOLSONARO,20,PSC,ELEITO POR QP,334
RIO DE JANEIRO,14,Vereador,CARLOS BOLSONARO,20,PSC,ELEITO POR QP,1003
RIO DE JANEIRO,173,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,17
RIO DE JANEIRO,17,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,10
RIO DE JANEIRO,182,Vereador,CLÁUDIO CASTRO,20,PSC,ELEITO POR QP,186
RIO DE JANEIRO,118,Vereador,OTONI DE PAULA JR,20,PSC,ELEITO POR QP,114
RIO DE JANEIRO,9,Vereador,CLÁUDIO CASTRO,20,PSC,ELEITO POR QP,336
RIO DE JANEIRO,175,Vereador,RENATO MOURA,12,PDT,ELEITO POR QP,26
RIO DE JANEIRO,118,Vereador,LUIZ CARLOS RAMOS FILHO,19,PTN,ELEITO POR QP,134
RIO DE JANEIRO,236,Vereador,LUIZ CARLOS RAMOS FILHO,19,PTN,ELEITO POR QP,166
RIO DE JANEIRO,228,Vereador,LUIZ CARLOS RAMOS FILHO,19,PTN,ELEITO POR QP,27
RIO DE JANEIRO,122,Vereador,CHIQUINHO BRAZÃO,15,PMDB,ELEITO POR QP,26
RIO DE JANEIRO,121,Vereador,CHIQUINHO BRAZÃO,15,PMDB,ELEITO POR QP,46
RIO DE JANEIRO,175,Vereador,JUNIOR DA LUCINHA,15,PMDB,ELEITO POR QP,139
RIO DE JANEIRO,205,Vereador,CESAR MAIA,25,DEM,ELEITO POR QP,727
RIO DE JANEIRO,169,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,61
RIO DE JANEIRO,124,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,40
RIO DE JANEIRO,204,Vereador,CHIQUINHO BRAZÃO,15,PMDB,ELEITO POR QP,51
