OBJECTID_1,OBJECTID,NOMERA,CODRA,CODAP,CODAPNUM,COD_AP_SMS,SUM_AREA,SHAPE_LENG,SHAPESTArea,SHAPESTLength
1,1,Portuária,1,1,1,AP 1  ,8508921.47705078,28198.64437618,8508921.47705078,28198.6443761848
2,2,Centro,2,1,1,AP 1  ,5723065.03320313,22240.43783549,5723065.03320312,22240.4378354949
3,3,Rio Comprido,3,1,1,AP 1  ,5797222.6796875,15453.1701741,5797222.6796875,15453.1701740976
4,4,Botafogo,4,2,2,AP 2.1,15025826.1972656,40309.09663405,15025826.1972656,40309.0966340546
5,5,Copacabana,5,2,2,AP 2.1,5078049.23876953,16732.5032508,5078049.23876953,16732.5032507989
6,6,Lagoa,6,2,2,AP 2.1,23726680.4223633,61856.09420599,23726680.4223633,61856.0942059892
7,7,São Cristóvão,7,1,1,AP 1  ,7503260.17919922,16336.36526169,7503260.17919922,16336.3652616871
8,8,Tijuca,8,2,2,AP 2.2,42281144.2167969,49737.21694126,42281144.2167969,49737.2169412648
9,9,Vila Isabel,9,2,2,AP 2.2,12884833.0742188,23206.05493795,12884833.0742188,23206.0549379509
10,10,Ramos,10,3,3,AP 3.1,11301433.5634766,25657.13759459,11301433.5634766,25657.1375945903
11,11,Penha,11,3,3,AP 3.1,13956927.0786133,22757.37060474,13956927.0786133,22757.3706047372
12,12,Inhaúma,12,3,3,AP 3.2,10881822.7666016,22377.49574873,10881822.7666016,22377.49574873
13,13,Méier,13,3,3,AP 3.2,29410060.8994141,31508.05717969,29410060.8994141,31508.0571796897
14,14,Irajá,14,3,3,AP 3.3,15044839.5268555,25252.53114473,15044839.5268555,25252.531144728
15,15,Madureira,15,3,3,AP 3.3,30181095.0551758,31814.40580716,30181095.0551758,31814.405807163
19,19,Santa Cruz,19,5,5,AP 5.3,164083566.128906,69515.37308625,164083566.128906,69515.3730862544
20,20,Ilha do Governador,20,3,3,AP 3.1,41454465.6201172,83429.35454093,41454465.6201172,83429.354540926
21,21,Paquetá,21,1,1,AP 1  ,1705684.50244141,24841.42558576,1705684.50244141,24841.4255857568
22,22,Anchieta,22,3,3,AP 3.3,14188394.5512695,23278.47026361,14188394.5512695,23278.470263611
23,23,Santa Teresa,23,1,1,AP 1  ,5157128.60253906,27344.802744,5157128.60253906,27344.8027439995
24,24,Barra da Tijuca,24,4,4,AP 4  ,165971080.648926,99746.24418595,165971080.648926,99746.2441859474
25,25,Pavuna,25,3,3,AP 3.3,17484730.6733398,20893.88622357,17484730.6733398,20893.8862235698
26,26,Guaratiba,26,5,5,AP 5.2,152580151.803223,77689.43791082,152580151.803223,77689.4379108208
27,27,Rocinha,27,2,2,AP 2.1,1437194.76269531,6120.7453475,1437194.76269531,6120.74534749856
28,28,Jacarezinho,28,3,3,AP 3.2,943874.13867188,6319.10630525,943874.138671875,6319.10630524902
29,29,Complexo do Alemão,29,3,3,AP 3.1,2960855.15478516,11998.43706329,2960855.15478516,11998.4370632942
30,30,Complexo da Maré,30,3,3,AP 3.1,4268761.27587891,13082.62164926,4268761.27587891,13082.6216492592
31,31,Vigário Geral,31,3,3,AP 3.1,11414046.1958008,18378.98949756,11414046.1958008,18378.9894975649
32,32,Realengo,33,5,5,AP 5.1,54548865.2299805,42472.00452619,54548865.2299805,42472.0045261851
38,38,Jacarepaguá,16,4,4,AP 4  ,126538884.328613,67917.53132455,126538884.328613,67917.5313245486
39,39,Cidade de Deus,34,4,4,AP 4  ,1273024.81640625,7243.92478952,1273024.81640625,7243.92478952327
40,40,Bangu,17,5,5,AP 5.1,62075962.046875,39263.70325286,62075962.046875,39263.7032528553
41,41,Campo Grande,18,5,5,AP 5.2,138755732.829102,64024.88555853,138755732.829102,64024.8855585303
