Zona,Cod Municipio,Municipio,Bairro,Qtd                                                                                                                     Eleitores
1.0,60011.0,RIO DE JANEIRO,CENTRO,13151.0
1.0,60011.0,RIO DE JANEIRO,PAQUETÁ,3127.0
1.0,60011.0,RIO DE JANEIRO,SANTO CRISTO,3433.0
1.0,60011.0,RIO DE JANEIRO,SAUDE,8646.0
2.0,60011.0,RIO DE JANEIRO,CAJU,15581.0
2.0,60011.0,RIO DE JANEIRO,SÃO CRISTÓVÃO,33930.0
3.0,60011.0,RIO DE JANEIRO,BOTAFOGO,3994.0
3.0,60011.0,RIO DE JANEIRO,FLAMENGO,38336.0
4.0,60011.0,RIO DE JANEIRO,BOTAFOGO,33933.0
4.0,60011.0,RIO DE JANEIRO,HUMAITA,15277.0
5.0,60011.0,RIO DE JANEIRO,COPACABANA,22409.0
5.0,60011.0,RIO DE JANEIRO,LEME,13450.0
6.0,60011.0,RIO DE JANEIRO,TIJUCA,31762.0
7.0,60011.0,RIO DE JANEIRO,TIJUCA,72571.0
8.0,60011.0,RIO DE JANEIRO,CACHAMBI,1074.0
8.0,60011.0,RIO DE JANEIRO,ENGENHO NOVO,4729.0
8.0,60011.0,RIO DE JANEIRO,JACARÉ,17103.0
8.0,60011.0,RIO DE JANEIRO,MARIA DA GRAÇA,3149.0
8.0,60011.0,RIO DE JANEIRO,RIACHUELO,9067.0
8.0,60011.0,RIO DE JANEIRO,ROCHA,16182.0
8.0,60011.0,RIO DE JANEIRO,TRIAGEM,156.0
9.0,60011.0,RIO DE JANEIRO,BARRA,39107.0
9.0,60011.0,RIO DE JANEIRO,CAMORIM,14263.0
9.0,60011.0,RIO DE JANEIRO,RECREIO,38680.0
9.0,60011.0,RIO DE JANEIRO,VARGEM GRANDE,11010.0
9.0,60011.0,RIO DE JANEIRO,VARGEM PEQUENA,8337.0
10.0,60011.0,RIO DE JANEIRO,CASCADURA,5764.0
10.0,60011.0,RIO DE JANEIRO,ENCANTADO,12556.0
10.0,60011.0,RIO DE JANEIRO,PIEDADE,11706.0
10.0,60011.0,RIO DE JANEIRO,QUINTINO BOCAIUVA,15086.0
10.0,60011.0,RIO DE JANEIRO,ÁGUA SANTA,8330.0
11.0,60011.0,RIO DE JANEIRO,BRÁS DE PINA,3816.0
11.0,60011.0,RIO DE JANEIRO,OLARIA,7325.0
11.0,60011.0,RIO DE JANEIRO,PENHA,22149.0
11.0,60011.0,RIO DE JANEIRO,PENHA CIRCULAR,10440.0
12.0,60011.0,RIO DE JANEIRO,CASCADURA,7559.0
12.0,60011.0,RIO DE JANEIRO,MADUREIRA,11602.0
12.0,60011.0,RIO DE JANEIRO,OSWALDO CRUZ,2968.0
13.0,60011.0,RIO DE JANEIRO,FREGUESIA JPA,59329.0
14.0,60011.0,RIO DE JANEIRO,ENCANTADO,3198.0
14.0,60011.0,RIO DE JANEIRO,ENGENHO DE DENTRO,6199.0
14.0,60011.0,RIO DE JANEIRO,PIEDADE,26468.0
15.0,60011.0,RIO DE JANEIRO,BENTO RIBEIRO,14009.0
15.0,60011.0,RIO DE JANEIRO,MARECHAL HERMES,19673.0
15.0,60011.0,RIO DE JANEIRO,VILA MILITAR,1011.0
16.0,60011.0,RIO DE JANEIRO,COSME VELHO,7913.0
16.0,60011.0,RIO DE JANEIRO,LARANJEIRAS,42281.0
17.0,60011.0,RIO DE JANEIRO,GÁVEA,4576.0
17.0,60011.0,RIO DE JANEIRO,LEBLON,44871.0
18.0,60011.0,RIO DE JANEIRO,COPACABANA,29985.0
19.0,60011.0,RIO DE JANEIRO,ANDARAÍ,2962.0
19.0,60011.0,RIO DE JANEIRO,MARACANÃ,1355.0
19.0,60011.0,RIO DE JANEIRO,VILA ISABEL,45380.0
20.0,60011.0,RIO DE JANEIRO,ENGENHO DE DENTRO,28163.0
20.0,60011.0,RIO DE JANEIRO,MEIER,11852.0
20.0,60011.0,RIO DE JANEIRO,TODOS OS SANTOS,6932.0
21.0,60011.0,RIO DE JANEIRO,BONSUCESSO,5917.0
21.0,60011.0,RIO DE JANEIRO,ENGENHO DA RAINHA,5197.0
21.0,60011.0,RIO DE JANEIRO,INHAUMA,6674.0
21.0,60011.0,RIO DE JANEIRO,RAMOS,38573.0
21.0,60011.0,RIO DE JANEIRO,TOMAS COELHO,117.0
21.0,60011.0,RIO DE JANEIRO,TOMÁS COELHO,1844.0
22.0,60011.0,RIO DE JANEIRO,COLÉGIO,9230.0
22.0,60011.0,RIO DE JANEIRO,IRAJÁ,54462.0
22.0,60011.0,RIO DE JANEIRO,VILA DA PENHA,2091.0
23.0,60011.0,RIO DE JANEIRO,DEODORO,11923.0
23.0,60011.0,RIO DE JANEIRO,GUADALUPE,41688.0
24.0,60011.0,RIO DE JANEIRO,BANGU,52264.0
24.0,60011.0,RIO DE JANEIRO,SENADOR CAMARÁ,11794.0
25.0,60011.0,RIO DE JANEIRO,GUARATIBA,8994.0
25.0,60011.0,RIO DE JANEIRO,NOVA SEPETIBA,4074.0
25.0,60011.0,RIO DE JANEIRO,PEDRA DE GUARATIBA,3740.0
25.0,60011.0,RIO DE JANEIRO,SANTA CRUZ,28352.0
25.0,60011.0,RIO DE JANEIRO,SEPETIBA,30294.0
26.0,58670.0,NOVA FRIBURGO,BRAUNES,2055.0
26.0,58670.0,NOVA FRIBURGO,CATARCIONE,3012.0
26.0,58670.0,NOVA FRIBURGO,CENTRO,20985.0
26.0,58670.0,NOVA FRIBURGO,CHACARA DO PARAISO,3880.0
26.0,58670.0,NOVA FRIBURGO,CORDOEIRA,4090.0
26.0,58670.0,NOVA FRIBURGO,CORREGO DANTAS,1263.0
26.0,58670.0,NOVA FRIBURGO,DUAS PEDRAS,3021.0
